어이가 없네~!,베테랑
Shut up! 말포이!,해리포터
어찌 내가 왕이 될 상인가?,관상
드루와 드루와,신세계
나 이대나온 여자야~!,타짜
신에게는 12척의 배가 남아있습니다.,명량
모히또 가서 몰디브 한 잔?,내부자들
어여 가~,괴물
너나 잘하세요.,친절한금자씨
아빠가 손님을 두고왔어…,택시운전사
지나간 슬픔에 새로운 눈물을 낭비하지 말자,신과함께
매너가 사람을 만든다,킹스맨
도비는 이제 자유예요,해리포터
마이 Precious~!,반지의제왕
아임 그루트,가디언즈오브갤럭시
최고의 안주는 알싸한 추위와 같이 나눠 마실 사람,리틀포레스트
나 여기 아트박스 사장인데…,베테랑
갈릴레오가 누구야,보헤미안랩소디
와칸다 포에버!,블랙팬서
그냥 이렇게 흘러가는대로 가보자,라라랜드
친구를 위해서라면 녹아도 괜찮아,겨울왕국
I'll be back~!,터미네이터
어떡하지 너?,건축학개론
어차피 천국에는 아는사람도 없다!,도둑들
내가 하얼빈 장첸이야!!!,범죄도시
나 다시 돌아갈래!,박하사탕
꼭 그렇게 다 가져가야만 속이 후련했냐!?,해바라기
금이빨 빼고.. 모조리 씹어먹어 줄게.,아저씨
우리에게 남은 마지막 무기는 진실 뿐입니다!,1987
국가란 국민입니다.,변호인
